age	ct	batch
old_ST_HSC_2	old	STHSC	b1
old_ST_HSC_3	old	STHSC	b1
old_ST_HSC_4	old	STHSC	b1
old_ST_HSC_1	old	STHSC	b1
old_ST_HSC_5	old	STHSC	b1
old_ST_HSC_6	old	STHSC	b1
old_ST_HSC_7	old	STHSC	b1
old_ST_HSC_8	old	STHSC	b1
old_ST_HSC_9	old	STHSC	b1
old_ST_HSC_10	old	STHSC	b1
old_ST_HSC_11	old	STHSC	b1
old_ST_HSC_12	old	STHSC	b1
old_ST_HSC_14	old	STHSC	b1
old_ST_HSC_15	old	STHSC	b1
old_ST_HSC_16	old	STHSC	b1
old_ST_HSC_13	old	STHSC	b1
old_ST_HSC_17	old	STHSC	b1
old_ST_HSC_18	old	STHSC	b1
old_ST_HSC_19	old	STHSC	b1
old_ST_HSC_20	old	STHSC	b1
old_ST_HSC_21	old	STHSC	b1
old_ST_HSC_22	old	STHSC	b1
old_ST_HSC_23	old	STHSC	b1
old_ST_HSC_24	old	STHSC	b1
old_ST_HSC_26	old	STHSC	b1
old_ST_HSC_27	old	STHSC	b1
old_ST_HSC_28	old	STHSC	b1
old_ST_HSC_25	old	STHSC	b1
old_ST_HSC_29	old	STHSC	b1
old_ST_HSC_30	old	STHSC	b1
old_ST_HSC_31	old	STHSC	b1
old_ST_HSC_32	old	STHSC	b1
old_ST_HSC_33	old	STHSC	b1
old_ST_HSC_34	old	STHSC	b1
old_ST_HSC_35	old	STHSC	b1
old_ST_HSC_36	old	STHSC	b1
old_ST_HSC_38	old	STHSC	b1
old_ST_HSC_39	old	STHSC	b1
old_ST_HSC_40	old	STHSC	b1
old_ST_HSC_37	old	STHSC	b1
old_ST_HSC_41	old	STHSC	b1
old_ST_HSC_42	old	STHSC	b1
old_ST_HSC_43	old	STHSC	b1
old_ST_HSC_44	old	STHSC	b1
old_ST_HSC_45	old	STHSC	b1
old_ST_HSC_46	old	STHSC	b1
old_ST_HSC_47	old	STHSC	b1
old_ST_HSC_48	old	STHSC	b1
old_ST_HSC_50	old	STHSC	b1
old_ST_HSC_51	old	STHSC	b1
old_ST_HSC_52	old	STHSC	b1
old_ST_HSC_49	old	STHSC	b1
old_ST_HSC_53	old	STHSC	b1
old_ST_HSC_54	old	STHSC	b1
old_ST_HSC_55	old	STHSC	b1
old_ST_HSC_56	old	STHSC	b1
old_ST_HSC_57	old	STHSC	b1
old_ST_HSC_58	old	STHSC	b1
old_ST_HSC_59	old	STHSC	b1
old_ST_HSC_60	old	STHSC	b1
old_ST_HSC_74	old	STHSC	b1
old_ST_HSC_75	old	STHSC	b1
old_ST_HSC_76	old	STHSC	b1
old_ST_HSC_73	old	STHSC	b1
old_ST_HSC_77	old	STHSC	b1
old_ST_HSC_78	old	STHSC	b1
old_ST_HSC_79	old	STHSC	b1
old_ST_HSC_80	old	STHSC	b1
old_ST_HSC_81	old	STHSC	b1
old_ST_HSC_82	old	STHSC	b1
old_ST_HSC_83	old	STHSC	b1
old_ST_HSC_84	old	STHSC	b1
old_ST_HSC_86	old	STHSC	b1
old_ST_HSC_87	old	STHSC	b1
old_ST_HSC_88	old	STHSC	b1
old_ST_HSC_85	old	STHSC	b1
old_ST_HSC_89	old	STHSC	b1
old_ST_HSC_90	old	STHSC	b1
old_ST_HSC_91	old	STHSC	b1
old_ST_HSC_92	old	STHSC	b1
old_ST_HSC_93	old	STHSC	b1
old_ST_HSC_94	old	STHSC	b1
old_ST_HSC_95	old	STHSC	b1
old_ST_HSC_96	old	STHSC	b1
old_ST_HSC_98	old	STHSC	b1
old_ST_HSC_99	old	STHSC	b1
old_ST_HSC_100	old	STHSC	b1
old_ST_HSC_97	old	STHSC	b1
old_ST_HSC_101	old	STHSC	b1
old_ST_HSC_102	old	STHSC	b1
old_ST_HSC_103	old	STHSC	b1
old_ST_HSC_104	old	STHSC	b1
old_ST_HSC_105	old	STHSC	b1
old_ST_HSC_107	old	STHSC	b1
old_ST_HSC_108	old	STHSC	b1
old_ST_HSC_110	old	STHSC	b1
old_ST_HSC_111	old	STHSC	b1
old_ST_HSC_112	old	STHSC	b1
old_ST_HSC_109	old	STHSC	b1
old_ST_HSC_113	old	STHSC	b1
old_ST_HSC_114	old	STHSC	b1
old_ST_HSC_115	old	STHSC	b1
old_ST_HSC_116	old	STHSC	b1
old_ST_HSC_117	old	STHSC	b1
old_ST_HSC_118	old	STHSC	b1
old_ST_HSC_119	old	STHSC	b1
old_ST_HSC_120	old	STHSC	b1
old_ST_HSC_122	old	STHSC	b1
old_ST_HSC_123	old	STHSC	b1
old_ST_HSC_124	old	STHSC	b1
old_ST_HSC_121	old	STHSC	b1
old_ST_HSC_125	old	STHSC	b1
old_ST_HSC_126	old	STHSC	b1
old_ST_HSC_127	old	STHSC	b1
old_ST_HSC_128	old	STHSC	b1
old_ST_HSC_129	old	STHSC	b1
old_ST_HSC_130	old	STHSC	b1
old_ST_HSC_131	old	STHSC	b1
old_ST_HSC_132	old	STHSC	b1
old_ST_HSC_134	old	STHSC	b1
old_ST_HSC_135	old	STHSC	b1
old_ST_HSC_136	old	STHSC	b1
old_ST_HSC_133	old	STHSC	b1
old_ST_HSC_137	old	STHSC	b1
old_ST_HSC_138	old	STHSC	b1
old_ST_HSC_139	old	STHSC	b1
old_ST_HSC_140	old	STHSC	b1
old_ST_HSC_141	old	STHSC	b1
old_ST_HSC_142	old	STHSC	b1
old_ST_HSC_143	old	STHSC	b1
old_ST_HSC_144	old	STHSC	b1
old_ST_HSC_146	old	STHSC	b1
old_ST_HSC_147	old	STHSC	b1
old_ST_HSC_148	old	STHSC	b1
old_ST_HSC_145	old	STHSC	b1
old_ST_HSC_149	old	STHSC	b1
old_ST_HSC_150	old	STHSC	b1
old_ST_HSC_151	old	STHSC	b1
old_ST_HSC_152	old	STHSC	b1
old_ST_HSC_153	old	STHSC	b1
old_ST_HSC_154	old	STHSC	b1
old_ST_HSC_155	old	STHSC	b1
old_ST_HSC_156	old	STHSC	b1
old_ST_HSC_170	old	STHSC	b1
old_ST_HSC_171	old	STHSC	b1
old_ST_HSC_172	old	STHSC	b1
old_ST_HSC_169	old	STHSC	b1
old_ST_HSC_173	old	STHSC	b1
old_ST_HSC_174	old	STHSC	b1
old_ST_HSC_175	old	STHSC	b1
old_ST_HSC_176	old	STHSC	b1
old_ST_HSC_177	old	STHSC	b1
old_ST_HSC_179	old	STHSC	b1
old_ST_HSC_180	old	STHSC	b1
old_ST_HSC_182	old	STHSC	b1
old_ST_HSC_183	old	STHSC	b1
old_ST_HSC_181	old	STHSC	b1
old_ST_HSC_185	old	STHSC	b1
old_ST_HSC_186	old	STHSC	b1
old_ST_HSC_187	old	STHSC	b1
old_ST_HSC_188	old	STHSC	b1
old_ST_HSC_189	old	STHSC	b1
old_ST_HSC_190	old	STHSC	b1
old_ST_HSC_191	old	STHSC	b1
old_ST_HSC_192	old	STHSC	b1
old_ST_HSC_62	old	STHSC	b1
old_ST_HSC_63	old	STHSC	b1
old_ST_HSC_64	old	STHSC	b1
old_ST_HSC_61	old	STHSC	b1
old_ST_HSC_65	old	STHSC	b1
old_ST_HSC_66	old	STHSC	b1
old_ST_HSC_67	old	STHSC	b1
old_ST_HSC_68	old	STHSC	b1
old_ST_HSC_69	old	STHSC	b1
old_ST_HSC_70	old	STHSC	b1
old_ST_HSC_71	old	STHSC	b1
old_ST_HSC_72	old	STHSC	b1
old_ST_HSC_158	old	STHSC	b1
old_ST_HSC_159	old	STHSC	b1
old_ST_HSC_160	old	STHSC	b1
old_ST_HSC_157	old	STHSC	b1
old_ST_HSC_161	old	STHSC	b1
old_ST_HSC_162	old	STHSC	b1
old_ST_HSC_163	old	STHSC	b1
old_ST_HSC_164	old	STHSC	b1
old_ST_HSC_165	old	STHSC	b1
old_ST_HSC_166	old	STHSC	b1
old_ST_HSC_167	old	STHSC	b1
old_ST_HSC_168	old	STHSC	b1
old_MPP_2	old	MPP	b1
old_MPP_4	old	MPP	b1
old_MPP_1	old	MPP	b1
old_MPP_5	old	MPP	b1
old_MPP_6	old	MPP	b1
old_MPP_7	old	MPP	b1
old_MPP_8	old	MPP	b1
old_MPP_9	old	MPP	b1
old_MPP_10	old	MPP	b1
old_MPP_11	old	MPP	b1
old_MPP_12	old	MPP	b1
old_MPP_14	old	MPP	b1
old_MPP_15	old	MPP	b1
old_MPP_16	old	MPP	b1
old_MPP_13	old	MPP	b1
old_MPP_17	old	MPP	b1
old_MPP_18	old	MPP	b1
old_MPP_19	old	MPP	b1
old_MPP_20	old	MPP	b1
old_MPP_21	old	MPP	b1
old_MPP_22	old	MPP	b1
old_MPP_23	old	MPP	b1
old_MPP_24	old	MPP	b1
old_MPP_26	old	MPP	b1
old_MPP_27	old	MPP	b1
old_MPP_28	old	MPP	b1
old_MPP_25	old	MPP	b1
old_MPP_29	old	MPP	b1
old_MPP_30	old	MPP	b1
old_MPP_31	old	MPP	b1
old_MPP_32	old	MPP	b1
old_MPP_33	old	MPP	b1
old_MPP_34	old	MPP	b1
old_MPP_35	old	MPP	b1
old_MPP_36	old	MPP	b1
old_MPP_38	old	MPP	b1
old_MPP_39	old	MPP	b1
old_MPP_40	old	MPP	b1
old_MPP_37	old	MPP	b1
old_MPP_41	old	MPP	b1
old_MPP_42	old	MPP	b1
old_MPP_43	old	MPP	b1
old_MPP_44	old	MPP	b1
old_MPP_45	old	MPP	b1
old_MPP_46	old	MPP	b1
old_MPP_47	old	MPP	b1
old_MPP_48	old	MPP	b1
old_MPP_50	old	MPP	b1
old_MPP_51	old	MPP	b1
old_MPP_52	old	MPP	b1
old_MPP_49	old	MPP	b1
old_MPP_53	old	MPP	b1
old_MPP_54	old	MPP	b1
old_MPP_55	old	MPP	b1
old_MPP_56	old	MPP	b1
old_MPP_57	old	MPP	b1
old_MPP_58	old	MPP	b1
old_MPP_59	old	MPP	b1
old_MPP_60	old	MPP	b1
old_MPP_74	old	MPP	b1
old_MPP_75	old	MPP	b1
old_MPP_76	old	MPP	b1
old_MPP_73	old	MPP	b1
old_MPP_77	old	MPP	b1
old_MPP_78	old	MPP	b1
old_MPP_79	old	MPP	b1
old_MPP_80	old	MPP	b1
old_MPP_81	old	MPP	b1
old_MPP_83	old	MPP	b1
old_MPP_84	old	MPP	b1
old_MPP_86	old	MPP	b1
old_MPP_87	old	MPP	b1
old_MPP_88	old	MPP	b1
old_MPP_85	old	MPP	b1
old_MPP_89	old	MPP	b1
old_MPP_90	old	MPP	b1
old_MPP_91	old	MPP	b1
old_MPP_92	old	MPP	b1
old_MPP_93	old	MPP	b1
old_MPP_94	old	MPP	b1
old_MPP_95	old	MPP	b1
old_MPP_98	old	MPP	b1
old_MPP_99	old	MPP	b1
old_MPP_100	old	MPP	b1
old_MPP_97	old	MPP	b1
old_MPP_101	old	MPP	b1
old_MPP_102	old	MPP	b1
old_MPP_103	old	MPP	b1
old_MPP_104	old	MPP	b1
old_MPP_106	old	MPP	b1
old_MPP_107	old	MPP	b1
old_MPP_108	old	MPP	b1
old_MPP_110	old	MPP	b1
old_MPP_111	old	MPP	b1
old_MPP_112	old	MPP	b1
old_MPP_109	old	MPP	b1
old_MPP_113	old	MPP	b1
old_MPP_114	old	MPP	b1
old_MPP_115	old	MPP	b1
old_MPP_116	old	MPP	b1
old_MPP_117	old	MPP	b1
old_MPP_118	old	MPP	b1
old_MPP_119	old	MPP	b1
old_MPP_120	old	MPP	b1
old_MPP_122	old	MPP	b1
old_MPP_123	old	MPP	b1
old_MPP_124	old	MPP	b1
old_MPP_121	old	MPP	b1
old_MPP_125	old	MPP	b1
old_MPP_126	old	MPP	b1
old_MPP_127	old	MPP	b1
old_MPP_128	old	MPP	b1
old_MPP_129	old	MPP	b1
old_MPP_130	old	MPP	b1
old_MPP_131	old	MPP	b1
old_MPP_132	old	MPP	b1
old_MPP_134	old	MPP	b1
old_MPP_135	old	MPP	b1
old_MPP_136	old	MPP	b1
old_MPP_133	old	MPP	b1
old_MPP_137	old	MPP	b1
old_MPP_138	old	MPP	b1
old_MPP_139	old	MPP	b1
old_MPP_140	old	MPP	b1
old_MPP_141	old	MPP	b1
old_MPP_142	old	MPP	b1
old_MPP_143	old	MPP	b1
old_MPP_144	old	MPP	b1
old_MPP_146	old	MPP	b1
old_MPP_147	old	MPP	b1
old_MPP_148	old	MPP	b1
old_MPP_145	old	MPP	b1
old_MPP_149	old	MPP	b1
old_MPP_150	old	MPP	b1
old_MPP_151	old	MPP	b1
old_MPP_152	old	MPP	b1
old_MPP_153	old	MPP	b1
old_MPP_154	old	MPP	b1
old_MPP_155	old	MPP	b1
old_MPP_156	old	MPP	b1
old_MPP_170	old	MPP	b1
old_MPP_171	old	MPP	b1
old_MPP_172	old	MPP	b1
old_MPP_169	old	MPP	b1
old_MPP_173	old	MPP	b1
old_MPP_174	old	MPP	b1
old_MPP_175	old	MPP	b1
old_MPP_176	old	MPP	b1
old_MPP_177	old	MPP	b1
old_MPP_178	old	MPP	b1
old_MPP_179	old	MPP	b1
old_MPP_180	old	MPP	b1
old_MPP_182	old	MPP	b1
old_MPP_183	old	MPP	b1
old_MPP_184	old	MPP	b1
old_MPP_181	old	MPP	b1
old_MPP_185	old	MPP	b1
old_MPP_186	old	MPP	b1
old_MPP_187	old	MPP	b1
old_MPP_188	old	MPP	b1
old_MPP_189	old	MPP	b1
old_MPP_190	old	MPP	b1
old_MPP_191	old	MPP	b1
old_MPP_192	old	MPP	b1
old_MPP_62	old	MPP	b1
old_MPP_63	old	MPP	b1
old_MPP_64	old	MPP	b1
old_MPP_61	old	MPP	b1
old_MPP_65	old	MPP	b1
old_MPP_66	old	MPP	b1
old_MPP_67	old	MPP	b1
old_MPP_68	old	MPP	b1
old_MPP_69	old	MPP	b1
old_MPP_70	old	MPP	b1
old_MPP_71	old	MPP	b1
old_MPP_72	old	MPP	b1
old_MPP_158	old	MPP	b1
old_MPP_159	old	MPP	b1
old_MPP_160	old	MPP	b1
old_MPP_157	old	MPP	b1
old_MPP_161	old	MPP	b1
old_MPP_162	old	MPP	b1
old_MPP_163	old	MPP	b1
old_MPP_164	old	MPP	b1
old_MPP_165	old	MPP	b1
old_MPP_166	old	MPP	b1
old_MPP_167	old	MPP	b1
old_MPP_168	old	MPP	b1
old_LT_HSC_biol_replicate_1	old	LTHSC	b2
old_LT_HSC_biol_replicate_2	old	LTHSC	b2
old_LT_HSC_biol_replicate_3	old	LTHSC	b2
old_LT_HSC_biol_replicate_4	old	LTHSC	b2
old_LT_HSC_biol_replicate_5	old	LTHSC	b2
old_LT_HSC_biol_replicate_6	old	LTHSC	b2
old_LT_HSC_biol_replicate_8	old	LTHSC	b2
old_LT_HSC_biol_replicate_9	old	LTHSC	b2
old_LT_HSC_biol_replicate_10	old	LTHSC	b2
old_LT_HSC_biol_replicate_11	old	LTHSC	b2
old_LT_HSC_biol_replicate_12	old	LTHSC	b2
old_LT_HSC_biol_replicate_13	old	LTHSC	b2
old_LT_HSC_biol_replicate_14	old	LTHSC	b2
old_LT_HSC_biol_replicate_15	old	LTHSC	b2
old_LT_HSC_biol_replicate_16	old	LTHSC	b2
old_LT_HSC_biol_replicate_17	old	LTHSC	b2
old_LT_HSC_biol_replicate_18	old	LTHSC	b2
old_LT_HSC_biol_replicate_19	old	LTHSC	b2
old_LT_HSC_biol_replicate_20	old	LTHSC	b2
old_LT_HSC_biol_replicate_21	old	LTHSC	b2
old_LT_HSC_biol_replicate_22	old	LTHSC	b2
old_LT_HSC_biol_replicate_23	old	LTHSC	b2
old_LT_HSC_biol_replicate_25	old	LTHSC	b2
old_LT_HSC_biol_replicate_26	old	LTHSC	b2
old_LT_HSC_biol_replicate_27	old	LTHSC	b2
old_LT_HSC_biol_replicate_28	old	LTHSC	b2
old_LT_HSC_biol_replicate_29	old	LTHSC	b2
old_LT_HSC_biol_replicate_30	old	LTHSC	b2
old_LT_HSC_biol_replicate_31	old	LTHSC	b2
old_LT_HSC_biol_replicate_32	old	LTHSC	b2
old_LT_HSC_biol_replicate_33	old	LTHSC	b2
old_LT_HSC_biol_replicate_34	old	LTHSC	b2
old_LT_HSC_biol_replicate_35	old	LTHSC	b2
old_LT_HSC_biol_replicate_36	old	LTHSC	b2
old_LT_HSC_biol_replicate_37	old	LTHSC	b2
old_LT_HSC_biol_replicate_38	old	LTHSC	b2
old_LT_HSC_biol_replicate_39	old	LTHSC	b2
old_LT_HSC_biol_replicate_40	old	LTHSC	b2
old_LT_HSC_biol_replicate_41	old	LTHSC	b2
old_LT_HSC_biol_replicate_42	old	LTHSC	b2
old_LT_HSC_biol_replicate_43	old	LTHSC	b2
old_LT_HSC_biol_replicate_44	old	LTHSC	b2
old_LT_HSC_biol_replicate_45	old	LTHSC	b2
old_LT_HSC_biol_replicate_46	old	LTHSC	b2
old_LT_HSC_biol_replicate_47	old	LTHSC	b2
old_LT_HSC_biol_replicate_48	old	LTHSC	b2
old_LT_HSC_biol_replicate_49	old	LTHSC	b2
old_LT_HSC_biol_replicate_50	old	LTHSC	b2
old_LT_HSC_biol_replicate_51	old	LTHSC	b2
old_LT_HSC_biol_replicate_52	old	LTHSC	b2
old_LT_HSC_biol_replicate_53	old	LTHSC	b2
old_LT_HSC_biol_replicate_54	old	LTHSC	b2
old_LT_HSC_biol_replicate_55	old	LTHSC	b2
old_LT_HSC_biol_replicate_56	old	LTHSC	b2
old_LT_HSC_biol_replicate_57	old	LTHSC	b2
old_LT_HSC_biol_replicate_58	old	LTHSC	b2
old_LT_HSC_biol_replicate_59	old	LTHSC	b2
old_LT_HSC_biol_replicate_60	old	LTHSC	b2
old_LT_HSC_biol_replicate_61	old	LTHSC	b2
old_LT_HSC_biol_replicate_62	old	LTHSC	b2
old_LT_HSC_biol_replicate_63	old	LTHSC	b2
old_LT_HSC_biol_replicate_64	old	LTHSC	b2
old_LT_HSC_biol_replicate_65	old	LTHSC	b2
old_LT_HSC_biol_replicate_66	old	LTHSC	b2
old_LT_HSC_biol_replicate_67	old	LTHSC	b2
old_LT_HSC_biol_replicate_68	old	LTHSC	b2
old_LT_HSC_biol_replicate_69	old	LTHSC	b2
old_LT_HSC_biol_replicate_70	old	LTHSC	b2
old_LT_HSC_biol_replicate_71	old	LTHSC	b2
old_LT_HSC_biol_replicate_72	old	LTHSC	b2
old_LT_HSC_biol_replicate_73	old	LTHSC	b2
old_LT_HSC_biol_replicate_74	old	LTHSC	b2
old_LT_HSC_biol_replicate_75	old	LTHSC	b2
old_LT_HSC_biol_replicate_76	old	LTHSC	b2
old_LT_HSC_biol_replicate_77	old	LTHSC	b2
old_LT_HSC_biol_replicate_78	old	LTHSC	b2
old_LT_HSC_biol_replicate_79	old	LTHSC	b2
old_LT_HSC_biol_replicate_80	old	LTHSC	b2
old_LT_HSC_biol_replicate_81	old	LTHSC	b2
old_LT_HSC_biol_replicate_82	old	LTHSC	b2
old_LT_HSC_biol_replicate_83	old	LTHSC	b2
old_LT_HSC_biol_replicate_84	old	LTHSC	b2
old_LT_HSC_biol_replicate_85	old	LTHSC	b2
old_LT_HSC_biol_replicate_86	old	LTHSC	b2
old_LT_HSC_biol_replicate_87	old	LTHSC	b2
old_LT_HSC_biol_replicate_88	old	LTHSC	b2
old_LT_HSC_biol_replicate_89	old	LTHSC	b2
old_LT_HSC_biol_replicate_90	old	LTHSC	b2
old_LT_HSC_biol_replicate_91	old	LTHSC	b2
old_LT_HSC_biol_replicate_92	old	LTHSC	b2
old_LT_HSC_biol_replicate_93	old	LTHSC	b2
old_LT_HSC_biol_replicate_94	old	LTHSC	b2
old_LT_HSC_biol_replicate_95	old	LTHSC	b2
old_LT_HSC_biol_replicate_96	old	LTHSC	b2
old_LT_HSC_biol_replicate_97	old	LTHSC	b2
old_LT_HSC_biol_replicate_98	old	LTHSC	b2
old_LT_HSC_biol_replicate_99	old	LTHSC	b2
old_LT_HSC_biol_replicate_100	old	LTHSC	b2
old_LT_HSC_biol_replicate_101	old	LTHSC	b2
old_LT_HSC_biol_replicate_103	old	LTHSC	b2
old_LT_HSC_biol_replicate_104	old	LTHSC	b2
old_LT_HSC_biol_replicate_105	old	LTHSC	b2
old_LT_HSC_biol_replicate_106	old	LTHSC	b2
old_LT_HSC_biol_replicate_107	old	LTHSC	b2
old_LT_HSC_biol_replicate_108	old	LTHSC	b2
old_LT_HSC_biol_replicate_109	old	LTHSC	b2
old_LT_HSC_biol_replicate_110	old	LTHSC	b2
old_LT_HSC_biol_replicate_111	old	LTHSC	b2
old_LT_HSC_biol_replicate_112	old	LTHSC	b2
old_LT_HSC_biol_replicate_113	old	LTHSC	b2
old_LT_HSC_biol_replicate_114	old	LTHSC	b2
old_LT_HSC_biol_replicate_115	old	LTHSC	b2
old_LT_HSC_biol_replicate_116	old	LTHSC	b2
old_LT_HSC_biol_replicate_117	old	LTHSC	b2
old_LT_HSC_biol_replicate_118	old	LTHSC	b2
old_LT_HSC_biol_replicate_119	old	LTHSC	b2
old_LT_HSC_biol_replicate_120	old	LTHSC	b2
old_LT_HSC_biol_replicate_121	old	LTHSC	b2
old_LT_HSC_biol_replicate_122	old	LTHSC	b2
old_LT_HSC_biol_replicate_123	old	LTHSC	b2
old_LT_HSC_biol_replicate_124	old	LTHSC	b2
old_LT_HSC_biol_replicate_125	old	LTHSC	b2
old_LT_HSC_biol_replicate_126	old	LTHSC	b2
old_LT_HSC_biol_replicate_127	old	LTHSC	b2
old_LT_HSC_biol_replicate_128	old	LTHSC	b2
old_LT_HSC_biol_replicate_129	old	LTHSC	b2
old_LT_HSC_biol_replicate_130	old	LTHSC	b2
old_LT_HSC_biol_replicate_131	old	LTHSC	b2
old_LT_HSC_biol_replicate_132	old	LTHSC	b2
old_LT_HSC_biol_replicate_133	old	LTHSC	b2
old_LT_HSC_biol_replicate_134	old	LTHSC	b2
old_LT_HSC_biol_replicate_135	old	LTHSC	b2
old_LT_HSC_biol_replicate_136	old	LTHSC	b2
old_LT_HSC_biol_replicate_137	old	LTHSC	b2
old_LT_HSC_biol_replicate_138	old	LTHSC	b2
old_LT_HSC_biol_replicate_139	old	LTHSC	b2
old_LT_HSC_biol_replicate_140	old	LTHSC	b2
old_LT_HSC_biol_replicate_141	old	LTHSC	b2
old_LT_HSC_biol_replicate_142	old	LTHSC	b2
old_LT_HSC_biol_replicate_143	old	LTHSC	b2
old_LT_HSC_biol_replicate_144	old	LTHSC	b2
old_LT_HSC_biol_replicate_145	old	LTHSC	b2
old_LT_HSC_biol_replicate_146	old	LTHSC	b2
old_LT_HSC_biol_replicate_147	old	LTHSC	b2
old_LT_HSC_biol_replicate_148	old	LTHSC	b2
old_LT_HSC_biol_replicate_149	old	LTHSC	b2
old_LT_HSC_biol_replicate_150	old	LTHSC	b2
old_LT_HSC_biol_replicate_151	old	LTHSC	b2
old_LT_HSC_biol_replicate_152	old	LTHSC	b2
old_LT_HSC_biol_replicate_153	old	LTHSC	b2
old_LT_HSC_biol_replicate_154	old	LTHSC	b2
old_LT_HSC_biol_replicate_155	old	LTHSC	b2
old_LT_HSC_biol_replicate_156	old	LTHSC	b2
old_LT_HSC_biol_replicate_157	old	LTHSC	b2
old_LT_HSC_biol_replicate_158	old	LTHSC	b2
old_LT_HSC_biol_replicate_159	old	LTHSC	b2
old_LT_HSC_biol_replicate_160	old	LTHSC	b2
old_LT_HSC_biol_replicate_161	old	LTHSC	b2
old_LT_HSC_biol_replicate_162	old	LTHSC	b2
old_LT_HSC_biol_replicate_163	old	LTHSC	b2
old_LT_HSC_biol_replicate_164	old	LTHSC	b2
old_LT_HSC_biol_replicate_165	old	LTHSC	b2
old_LT_HSC_biol_replicate_166	old	LTHSC	b2
old_LT_HSC_biol_replicate_167	old	LTHSC	b2
old_LT_HSC_biol_replicate_168	old	LTHSC	b2
old_LT_HSC_biol_replicate_169	old	LTHSC	b2
old_LT_HSC_biol_replicate_170	old	LTHSC	b2
old_LT_HSC_biol_replicate_171	old	LTHSC	b2
old_LT_HSC_biol_replicate_172	old	LTHSC	b2
old_LT_HSC_biol_replicate_173	old	LTHSC	b2
old_LT_HSC_biol_replicate_174	old	LTHSC	b2
old_LT_HSC_biol_replicate_175	old	LTHSC	b2
old_LT_HSC_biol_replicate_176	old	LTHSC	b2
old_LT_HSC_biol_replicate_177	old	LTHSC	b2
old_LT_HSC_biol_replicate_178	old	LTHSC	b2
old_LT_HSC_biol_replicate_179	old	LTHSC	b2
old_LT_HSC_biol_replicate_180	old	LTHSC	b2
old_LT_HSC_biol_replicate_181	old	LTHSC	b2
old_LT_HSC_biol_replicate_182	old	LTHSC	b2
old_LT_HSC_biol_replicate_183	old	LTHSC	b2
old_LT_HSC_biol_replicate_184	old	LTHSC	b2
old_LT_HSC_biol_replicate_185	old	LTHSC	b2
old_LT_HSC_biol_replicate_186	old	LTHSC	b2
old_LT_HSC_biol_replicate_187	old	LTHSC	b2
old_LT_HSC_biol_replicate_188	old	LTHSC	b2
old_LT_HSC_biol_replicate_189	old	LTHSC	b2
old_LT_HSC_biol_replicate_190	old	LTHSC	b2
old_LT_HSC_biol_replicate_191	old	LTHSC	b2
old_LT_HSC_biol_replicate_192	old	LTHSC	b2
old_ST_HSC_biol_replicate_1	old	STHSC	b2
old_ST_HSC_biol_replicate_2	old	STHSC	b2
old_ST_HSC_biol_replicate_3	old	STHSC	b2
old_ST_HSC_biol_replicate_4	old	STHSC	b2
old_ST_HSC_biol_replicate_5	old	STHSC	b2
old_ST_HSC_biol_replicate_6	old	STHSC	b2
old_ST_HSC_biol_replicate_7	old	STHSC	b2
old_ST_HSC_biol_replicate_8	old	STHSC	b2
old_ST_HSC_biol_replicate_9	old	STHSC	b2
old_ST_HSC_biol_replicate_10	old	STHSC	b2
old_ST_HSC_biol_replicate_11	old	STHSC	b2
old_ST_HSC_biol_replicate_12	old	STHSC	b2
old_ST_HSC_biol_replicate_13	old	STHSC	b2
old_ST_HSC_biol_replicate_14	old	STHSC	b2
old_ST_HSC_biol_replicate_15	old	STHSC	b2
old_ST_HSC_biol_replicate_16	old	STHSC	b2
old_ST_HSC_biol_replicate_17	old	STHSC	b2
old_ST_HSC_biol_replicate_18	old	STHSC	b2
old_ST_HSC_biol_replicate_19	old	STHSC	b2
old_ST_HSC_biol_replicate_20	old	STHSC	b2
old_ST_HSC_biol_replicate_21	old	STHSC	b2
old_ST_HSC_biol_replicate_22	old	STHSC	b2
old_ST_HSC_biol_replicate_23	old	STHSC	b2
old_ST_HSC_biol_replicate_24	old	STHSC	b2
old_ST_HSC_biol_replicate_25	old	STHSC	b2
old_ST_HSC_biol_replicate_26	old	STHSC	b2
old_ST_HSC_biol_replicate_27	old	STHSC	b2
old_ST_HSC_biol_replicate_28	old	STHSC	b2
old_ST_HSC_biol_replicate_29	old	STHSC	b2
old_ST_HSC_biol_replicate_30	old	STHSC	b2
old_ST_HSC_biol_replicate_31	old	STHSC	b2
old_ST_HSC_biol_replicate_32	old	STHSC	b2
old_ST_HSC_biol_replicate_33	old	STHSC	b2
old_ST_HSC_biol_replicate_34	old	STHSC	b2
old_ST_HSC_biol_replicate_35	old	STHSC	b2
old_ST_HSC_biol_replicate_36	old	STHSC	b2
old_ST_HSC_biol_replicate_37	old	STHSC	b2
old_ST_HSC_biol_replicate_38	old	STHSC	b2
old_ST_HSC_biol_replicate_39	old	STHSC	b2
old_ST_HSC_biol_replicate_40	old	STHSC	b2
old_ST_HSC_biol_replicate_41	old	STHSC	b2
old_ST_HSC_biol_replicate_42	old	STHSC	b2
old_ST_HSC_biol_replicate_43	old	STHSC	b2
old_ST_HSC_biol_replicate_44	old	STHSC	b2
old_ST_HSC_biol_replicate_45	old	STHSC	b2
old_ST_HSC_biol_replicate_46	old	STHSC	b2
old_ST_HSC_biol_replicate_47	old	STHSC	b2
old_ST_HSC_biol_replicate_48	old	STHSC	b2
